scenario_id,plan_id,metric,value
BASE,P4_full,total_cost_mln,10815.356956
BASE,P4_full,pv_cost_mln,8857.609145
BASE,P4_full,discount_rate_real,0.080000
BASE,P4_full,demand_total_t,1390.000000
BASE,P4_full,served_total_t,1390.000000
BASE,P4_full,served_critical_t,950.000000
BASE,P4_full,shortage_total_t,0.000000
BASE,P4_full,shortage_critical_t,0.000000
BASE,P4_full,cost_per_served_t_mln,7.780832
BASE,P4_full,pv_cost_per_served_t_mln,6.372381
BASE,P4_full,min_service_level_total,1.000000
BASE,P4_full,min_service_level_critical,1.000000
BASE,P4_full,losses_total_t,29.492173
BASE,P4_full,throughput_total_t,1455.245900
BASE,P4_full,capex_total_mln,1790.000000
BASE,P4_full,procurement_total_mln,8157.913830
BASE,P4_full,reservation_total_mln,485.715870
BASE,P4_full,holding_total_mln,129.727256
BASE,P4_full,fixed_opex_total_mln,252.000000
BASE,P4_full,take_or_pay_idle_t,0.000000
BASE,P4_full,opening_inventory_t,12.328859
BASE,P4_full,closing_inventory_t,48.082586
BASE,P4_full,hard_violations,0
BASE,P4_full,guideline_violations,0
BASE,P4_full,warnings,0
BASE,P4_full,feasible,True
